project_name,snapshot_date,stage,probability,expected_close_date,pipeline_value
Project 0014,2026-04-24,Prospect,0.15,2026-08-28,791700
Project 0014,2026-03-24,Prospect,0.15,2026-08-28,791700
Project 0015,2026-08-24,Prospect,0.15,2025-08-31,423750
Project 0015,2026-07-24,Prospect,0.15,2025-08-31,423750
Project 0015,2026-06-24,Prospect,0.15,2025-08-31,423750
Project 0015,2026-05-24,Prospect,0.15,2025-08-31,423750
Project 0015,2026-04-24,Prospect,0.15,2025-08-31,423750
Project 0015,2026-03-24,Prospect,0.15,2025-08-31,423750
Project 0016,2026-08-24,Closed Won,1.0,2026-02-06,1635900
Project 0016,2026-07-24,Closed Won,1.0,2026-02-06,1635900
Project 0016,2026-06-24,Closed Won,1.0,2026-02-06,1635900
Project 0016,2026-05-24,Closed Won,1.0,2026-02-06,1635900
Project 0016,2026-04-24,Closed Won,1.0,2026-02-06,1635900
Project 0016,2026-03-24,Closed Won,1.0,2026-02-06,1635900
Project 0017,2026-08-24,Closed Won,1.0,2027-01-04,1321600
Project 0017,2026-07-24,Closed Won,1.0,2027-01-04,1321600
Project 0017,2026-06-24,Closed Won,1.0,2027-01-04,1321600
Project 0017,2026-05-24,Closed Won,1.0,2027-01-04,1321600
Project 0017,2026-04-24,Closed Won,1.0,2027-01-04,1321600
Project 0017,2026-03-24,Closed Won,1.0,2027-01-04,1321600
Project 0018,2026-08-24,In Delivery,0.75,2027-05-24,433500
Project 0018,2026-07-24,In Delivery,0.75,2027-05-24,433500
Project 0018,2026-06-24,In Delivery,0.75,2027-05-24,433500
Project 0018,2026-05-24,In Delivery,0.75,2027-05-24,433500
Project 0018,2026-04-24,In Delivery,0.75,2027-05-24,433500
Project 0018,2026-03-24,In Delivery,0.75,2027-05-24,433500
Project 0019,2026-08-24,Prospect,0.15,2025-10-13,81200
Project 0019,2026-07-24,Prospect,0.15,2025-10-13,81200
Project 0019,2026-06-24,Prospect,0.15,2025-10-13,81200
Project 0019,2026-05-24,Prospect,0.15,2025-10-13,81200
Project 0019,2026-04-24,Prospect,0.15,2025-10-13,81200
Project 0019,2026-03-24,Prospect,0.15,2025-10-13,81200
Project 0020,2026-08-24,In Delivery,0.75,2026-02-11,1317300
Project 0020,2026-07-24,In Delivery,0.75,2026-02-11,1317300
Project 0020,2026-06-24,In Delivery,0.75,2026-02-11,1317300
Project 0020,2026-05-24,In Delivery,0.75,2026-02-11,1317300
Project 0020,2026-04-24,In Delivery,0.75,2026-02-11,1317300
Project 0020,2026-03-24,In Delivery,0.75,2026-02-11,1317300
Project 0021,2026-08-24,Qualified,0.35,2027-05-09,480500
Project 0021,2026-07-24,Qualified,0.35,2027-05-09,480500
Project 0021,2026-06-24,Qualified,0.35,2027-05-09,480500
Project 0021,2026-05-24,Qualified,0.35,2027-05-09,480500
Project 0021,2026-04-24,Qualified,0.35,2027-05-09,480500
Project 0021,2026-03-24,Qualified,0.35,2027-05-09,480500
Project 0022,2026-08-24,Closed Won,1.0,2027-01-11,1304000
Project 0022,2026-07-24,Closed Won,1.0,2027-01-11,1304000
Project 0022,2026-06-24,Closed Won,1.0,2027-01-11,1304000
Project 0022,2026-05-24,Closed Won,1.0,2027-01-11,1304000
Project 0022,2026-04-24,Closed Won,1.0,2027-01-11,1304000
Project 0022,2026-03-24,Closed Won,1.0,2027-01-11,1304000
Project 0023,2026-08-24,Closed Won,1.0,2026-06-28,372600
Project 0023,2026-07-24,Closed Won,1.0,2026-06-28,372600
Project 0023,2026-06-24,Closed Won,1.0,2026-06-28,372600
Project 0023,2026-05-24,Closed Won,1.0,2026-06-28,372600
Project 0023,2026-04-24,Closed Won,1.0,2026-06-28,372600
Project 0023,2026-03-24,Closed Won,1.0,2026-06-28,372600
Project 0024,2026-08-24,Qualified,0.35,2025-05-24,602400
Project 0024,2026-07-24,Qualified,0.35,2025-05-24,602400
Project 0024,2026-06-24,Qualified,0.35,2025-05-24,602400
Project 0024,2026-05-24,Qualified,0.35,2025-05-24,602400
Project 0024,2026-04-24,Qualified,0.35,2025-05-24,602400
Project 0024,2026-03-24,Qualified,0.35,2025-05-24,602400
Project 0025,2026-08-24,Qualified,0.35,2025-06-26,227250
Project 0025,2026-07-24,Qualified,0.35,2025-06-26,227250
Project 0025,2026-06-24,Qualified,0.35,2025-06-26,227250
Project 0025,2026-05-24,Qualified,0.35,2025-06-26,227250
Project 0025,2026-04-24,Qualified,0.35,2025-06-26,227250
Project 0025,2026-03-24,Qualified,0.35,2025-06-26,227250
Project 0026,2026-08-24,Qualified,0.35,2026-03-23,215750
Project 0026,2026-07-24,Qualified,0.35,2026-03-23,215750
Project 0026,2026-06-24,Qualified,0.35,2026-03-23,215750
Project 0026,2026-05-24,Qualified,0.35,2026-03-23,215750
Project 0026,2026-04-24,Qualified,0.35,2026-03-23,215750
Project 0026,2026-03-24,Qualified,0.35,2026-03-23,215750
Project 0027,2026-08-24,Qualified,0.35,2025-09-28,307950
Project 0027,2026-07-24,Qualified,0.35,2025-09-28,307950
Project 0027,2026-06-24,Qualified,0.35,2025-09-28,307950
Project 0027,2026-05-24,Qualified,0.35,2025-09-28,307950
Project 0027,2026-04-24,Qualified,0.35,2025-09-28,307950
Project 0027,2026-03-24,Qualified,0.35,2025-09-28,307950
Project 0028,2026-08-24,In Delivery,0.75,2027-02-06,275400
Project 0028,2026-07-24,In Delivery,0.75,2027-02-06,275400
Project 0028,2026-06-24,In Delivery,0.75,2027-02-06,275400
Project 0028,2026-05-24,In Delivery,0.75,2027-02-06,275400
Project 0028,2026-04-24,In Delivery,0.75,2027-02-06,275400
Project 0028,2026-03-24,In Delivery,0.75,2027-02-06,275400
Project 0029,2026-08-24,Qualified,0.35,2026-07-16,368900
Project 0029,2026-07-24,Qualified,0.35,2026-07-16,368900
Project 0029,2026-06-24,Qualified,0.35,2026-07-16,368900
Project 0029,2026-05-24,Qualified,0.35,2026-07-16,368900
Project 0029,2026-04-24,Qualified,0.35,2026-07-16,368900
Project 0029,2026-03-24,Qualified,0.35,2026-07-16,368900
Project 0030,2026-08-24,In Delivery,0.75,2026-03-01,579900
Project 0030,2026-07-24,In Delivery,0.75,2026-03-01,579900
Project 0030,2026-06-24,In Delivery,0.75,2026-03-01,579900
Project 0030,2026-05-24,In Delivery,0.75,2026-03-01,579900
Project 0030,2026-04-24,In Delivery,0.75,2026-03-01,579900
Project 0030,2026-03-24,In Delivery,0.75,2026-03-01,579900
Project 0031,2026-08-24,Qualified,0.35,2025-09-06,1606150
Project 0031,2026-07-24,Qualified,0.35,2025-09-06,1606150
Project 0031,2026-06-24,Qualified,0.35,2025-09-06,1606150
Project 0031,2026-05-24,Qualified,0.35,2025-09-06,1606150
Project 0031,2026-04-24,Qualified,0.35,2025-09-06,1606150
Project 0031,2026-03-24,Qualified,0.35,2025-09-06,1606150
Project 0032,2026-08-24,Closed Won,1.0,2026-12-25,121200
Project 0032,2026-07-24,Closed Won,1.0,2026-12-25,121200
Project 0032,2026-06-24,Closed Won,1.0,2026-12-25,121200
Project 0032,2026-05-24,Closed Won,1.0,2026-12-25,121200
Project 0032,2026-04-24,Closed Won,1.0,2026-12-25,121200
Project 0032,2026-03-24,Closed Won,1.0,2026-12-25,121200
Project 0033,2026-08-24,Closed Won,1.0,2026-02-09,752750
Project 0033,2026-07-24,Closed Won,1.0,2026-02-09,752750
Project 0033,2026-06-24,Closed Won,1.0,2026-02-09,752750
Project 0033,2026-05-24,Closed Won,1.0,2026-02-09,752750
Project 0033,2026-04-24,Closed Won,1.0,2026-02-09,752750
Project 0033,2026-03-24,Closed Won,1.0,2026-02-09,752750
Project 0034,2026-08-24,Prospect,0.15,2025-10-14,635200
Project 0034,2026-07-24,Prospect,0.15,2025-10-14,635200
Project 0034,2026-06-24,Prospect,0.15,2025-10-14,635200
Project 0034,2026-05-24,Prospect,0.15,2025-10-14,635200
Project 0034,2026-04-24,Prospect,0.15,2025-10-14,635200
Project 0034,2026-03-24,Prospect,0.15,2025-10-14,635200
Project 0035,2026-08-24,Prospect,0.15,2025-11-09,852200
Project 0035,2026-07-24,Prospect,0.15,2025-11-09,852200
Project 0035,2026-06-24,Prospect,0.15,2025-11-09,852200
Project 0035,2026-05-24,Prospect,0.15,2025-11-09,852200
Project 0035,2026-04-24,Prospect,0.15,2025-11-09,852200
Project 0035,2026-03-24,Prospect,0.15,2025-11-09,852200
Project 0036,2026-08-24,Closed Lost,0.0,2027-07-02,576450
Project 0036,2026-07-24,Closed Lost,0.0,2027-07-02,576450
Project 0036,2026-06-24,Closed Lost,0.0,2027-07-02,576450
Project 0036,2026-05-24,Closed Lost,0.0,2027-07-02,576450
Project 0036,2026-04-24,Closed Lost,0.0,2027-07-02,576450
Project 0036,2026-03-24,Closed Lost,0.0,2027-07-02,576450
Project 0037,2026-08-24,Closed Won,1.0,2026-06-11,643500
Project 0037,2026-07-24,Closed Won,1.0,2026-06-11,643500
Project 0037,2026-06-24,Closed Won,1.0,2026-06-11,643500
Project 0037,2026-05-24,Closed Won,1.0,2026-06-11,643500
Project 0037,2026-04-24,Closed Won,1.0,2026-06-11,643500
Project 0037,2026-03-24,Closed Won,1.0,2026-06-11,643500
Project 0038,2026-08-24,Closed Won,1.0,2025-04-18,508650
Project 0038,2026-07-24,Closed Won,1.0,2025-04-18,508650
Project 0038,2026-06-24,Closed Won,1.0,2025-04-18,508650
Project 0038,2026-05-24,Closed Won,1.0,2025-04-18,508650
Project 0038,2026-04-24,Closed Won,1.0,2025-04-18,508650
Project 0038,2026-03-24,Closed Won,1.0,2025-04-18,508650
Project 0039,2026-08-24,In Delivery,0.75,2026-10-10,113250
Project 0039,2026-07-24,In Delivery,0.75,2026-10-10,113250
Project 0039,2026-06-24,In Delivery,0.75,2026-10-10,113250
Project 0039,2026-05-24,In Delivery,0.75,2026-10-10,113250
Project 0039,2026-04-24,In Delivery,0.75,2026-10-10,113250
Project 0039,2026-03-24,In Delivery,0.75,2026-10-10,113250
Project 0040,2026-08-24,Qualified,0.35,2026-12-07,926600
Project 0040,2026-07-24,Qualified,0.35,2026-12-07,926600
Project 0040,2026-06-24,Qualified,0.35,2026-12-07,926600
Project 0040,2026-05-24,Qualified,0.35,2026-12-07,926600
Project 0040,2026-04-24,Qualified,0.35,2026-12-07,926600
Project 0040,2026-03-24,Qualified,0.35,2026-12-07,926600
Project 0041,2026-08-24,Prospect,0.15,2025-10-19,1642550
Project 0041,2026-07-24,Prospect,0.15,2025-10-19,1642550
Project 0041,2026-06-24,Prospect,0.15,2025-10-19,1642550
Project 0041,2026-05-24,Prospect,0.15,2025-10-19,1642550
Project 0041,2026-04-24,Prospect,0.15,2025-10-19,1642550
Project 0041,2026-03-24,Prospect,0.15,2025-10-19,1642550
Project 0042,2026-08-24,Qualified,0.35,2025-08-01,880500
Project 0042,2026-07-24,Qualified,0.35,2025-08-01,880500
Project 0042,2026-06-24,Qualified,0.35,2025-08-01,880500
Project 0042,2026-05-24,Qualified,0.35,2025-08-01,880500
Project 0042,2026-04-24,Qualified,0.35,2025-08-01,880500
Project 0042,2026-03-24,Qualified,0.35,2025-08-01,880500
Project 0043,2026-08-24,Closed Lost,0.0,2026-02-09,304800
Project 0043,2026-07-24,Closed Lost,0.0,2026-02-09,304800
Project 0043,2026-06-24,Closed Lost,0.0,2026-02-09,304800
Project 0043,2026-05-24,Closed Lost,0.0,2026-02-09,304800
Project 0043,2026-04-24,Closed Lost,0.0,2026-02-09,304800
Project 0043,2026-03-24,Closed Lost,0.0,2026-02-09,304800
Project 0044,2026-08-24,In Delivery,0.75,2025-12-21,173850
Project 0044,2026-07-24,In Delivery,0.75,2025-12-21,173850
Project 0044,2026-06-24,In Delivery,0.75,2025-12-21,173850
Project 0044,2026-05-24,In Delivery,0.75,2025-12-21,173850
Project 0044,2026-04-24,In Delivery,0.75,2025-12-21,173850
Project 0044,2026-03-24,In Delivery,0.75,2025-12-21,173850
Project 0045,2026-08-24,Closed Won,1.0,2026-08-22,64800
Project 0045,2026-07-24,Closed Won,1.0,2026-08-22,64800
Project 0045,2026-06-24,Closed Won,1.0,2026-08-22,64800
Project 0045,2026-05-24,Closed Won,1.0,2026-08-22,64800
Project 0045,2026-04-24,Closed Won,1.0,2026-08-22,64800
Project 0045,2026-03-24,Closed Won,1.0,2026-08-22,64800
Project 0046,2026-08-24,Closed Won,1.0,2025-12-11,441000
Project 0046,2026-07-24,Closed Won,1.0,2025-12-11,441000
Project 0046,2026-06-24,Closed Won,1.0,2025-12-11,441000
Project 0046,2026-05-24,Closed Won,1.0,2025-12-11,441000
Project 0046,2026-04-24,Closed Won,1.0,2025-12-11,441000
Project 0046,2026-03-24,Closed Won,1.0,2025-12-11,441000
Project 0047,2026-08-24,Closed Lost,0.0,2027-01-26,468650
Project 0047,2026-07-24,Closed Lost,0.0,2027-01-26,468650
Project 0047,2026-06-24,Closed Lost,0.0,2027-01-26,468650
Project 0047,2026-05-24,Closed Lost,0.0,2027-01-26,468650
Project 0047,2026-04-24,Closed Lost,0.0,2027-01-26,468650
Project 0047,2026-03-24,Closed Lost,0.0,2027-01-26,468650
Project 0048,2026-08-24,In Delivery,0.75,2025-09-12,192250
Project 0048,2026-07-24,In Delivery,0.75,2025-09-12,192250
Project 0048,2026-06-24,In Delivery,0.75,2025-09-12,192250
Project 0048,2026-05-24,In Delivery,0.75,2025-09-12,192250
Project 0048,2026-04-24,In Delivery,0.75,2025-09-12,192250
Project 0048,2026-03-24,In Delivery,0.75,2025-09-12,192250
Project 0049,2026-08-24,Closed Lost,0.0,2026-03-20,802250
Project 0049,2026-07-24,Closed Lost,0.0,2026-03-20,802250
Project 0049,2026-06-24,Closed Lost,0.0,2026-03-20,802250
Project 0049,2026-05-24,Closed Lost,0.0,2026-03-20,802250
Project 0049,2026-04-24,Closed Lost,0.0,2026-03-20,802250
Project 0049,2026-03-24,Closed Lost,0.0,2026-03-20,802250
Project 0050,2026-08-24,Closed Won,1.0,2025-09-23,601200
Project 0050,2026-07-24,Closed Won,1.0,2025-09-23,601200
Project 0050,2026-06-24,Closed Won,1.0,2025-09-23,601200
Project 0050,2026-05-24,Closed Won,1.0,2025-09-23,601200
Project 0050,2026-04-24,Closed Won,1.0,2025-09-23,601200
Project 0050,2026-03-24,Closed Won,1.0,2025-09-23,601200
Project 0051,2026-08-24,Prospect,0.15,2027-06-24,1515850
Project 0051,2026-07-24,Prospect,0.15,2027-06-24,1515850
Project 0051,2026-06-24,Prospect,0.15,2027-06-24,1515850
Project 0051,2026-05-24,Prospect,0.15,2027-06-24,1515850
Project 0051,2026-04-24,Prospect,0.15,2027-06-24,1515850
Project 0051,2026-03-24,Prospect,0.15,2027-06-24,1515850
Project 0052,2026-08-24,Closed Won,1.0,2026-08-18,409800
Project 0052,2026-07-24,Closed Won,1.0,2026-08-18,409800
Project 0052,2026-06-24,Closed Won,1.0,2026-08-18,409800
Project 0052,2026-05-24,Closed Won,1.0,2026-08-18,409800
Project 0052,2026-04-24,Closed Won,1.0,2026-08-18,409800
Project 0052,2026-03-24,Closed Won,1.0,2026-08-18,409800
Project 0053,2026-08-24,Prospect,0.15,2025-10-03,787200
Project 0053,2026-07-24,Prospect,0.15,2025-10-03,787200
Project 0053,2026-06-24,Prospect,0.15,2025-10-03,787200
Project 0053,2026-05-24,Prospect,0.15,2025-10-03,787200
Project 0053,2026-04-24,Prospect,0.15,2025-10-03,787200
Project 0053,2026-03-24,Prospect,0.15,2025-10-03,787200
Project 0054,2026-08-24,Closed Won,1.0,2026-12-09,383000
Project 0054,2026-07-24,Closed Won,1.0,2026-12-09,383000
Project 0054,2026-06-24,Closed Won,1.0,2026-12-09,383000
Project 0054,2026-05-24,Closed Won,1.0,2026-12-09,383000
Project 0054,2026-04-24,Closed Won,1.0,2026-12-09,383000
Project 0054,2026-03-24,Closed Won,1.0,2026-12-09,383000
Project 0055,2026-08-24,Qualified,0.35,2025-12-24,61200
Project 0055,2026-07-24,Qualified,0.35,2025-12-24,61200
Project 0055,2026-06-24,Qualified,0.35,2025-12-24,61200
Project 0055,2026-05-24,Qualified,0.35,2025-12-24,61200
Project 0055,2026-04-24,Qualified,0.35,2025-12-24,61200
Project 0055,2026-03-24,Qualified,0.35,2025-12-24,61200
Project 0056,2026-08-24,Prospect,0.15,2025-05-11,912800
Project 0056,2026-07-24,Prospect,0.15,2025-05-11,912800
Project 0056,2026-06-24,Prospect,0.15,2025-05-11,912800
Project 0056,2026-05-24,Prospect,0.15,2025-05-11,912800
Project 0056,2026-04-24,Prospect,0.15,2025-05-11,912800
Project 0056,2026-03-24,Prospect,0.15,2025-05-11,912800
Project 0057,2026-08-24,Closed Won,1.0,2025-04-25,257500
Project 0057,2026-07-24,Closed Won,1.0,2025-04-25,257500
Project 0057,2026-06-24,Closed Won,1.0,2025-04-25,257500
Project 0057,2026-05-24,Closed Won,1.0,2025-04-25,257500
Project 0057,2026-04-24,Closed Won,1.0,2025-04-25,257500
Project 0057,2026-03-24,Closed Won,1.0,2025-04-25,257500
Project 0058,2026-08-24,Prospect,0.15,2026-10-25,126400
Project 0058,2026-07-24,Prospect,0.15,2026-10-25,126400
Project 0058,2026-06-24,Prospect,0.15,2026-10-25,126400
Project 0058,2026-05-24,Prospect,0.15,2026-10-25,126400
Project 0058,2026-04-24,Prospect,0.15,2026-10-25,126400
Project 0058,2026-03-24,Prospect,0.15,2026-10-25,126400
Project 0059,2026-08-24,Prospect,0.15,2026-08-14,1219600
Project 0059,2026-07-24,Prospect,0.15,2026-08-14,1219600
Project 0059,2026-06-24,Prospect,0.15,2026-08-14,1219600
Project 0059,2026-05-24,Prospect,0.15,2026-08-14,1219600
Project 0059,2026-04-24,Prospect,0.15,2026-08-14,1219600
Project 0059,2026-03-24,Prospect,0.15,2026-08-14,1219600
Project 0060,2026-08-24,Qualified,0.35,2025-01-26,1240050
Project 0060,2026-07-24,Qualified,0.35,2025-01-26,1240050
Project 0060,2026-06-24,Qualified,0.35,2025-01-26,1240050
Project 0060,2026-05-24,Qualified,0.35,2025-01-26,1240050
Project 0060,2026-04-24,Qualified,0.35,2025-01-26,1240050
Project 0060,2026-03-24,Qualified,0.35,2025-01-26,1240050
Project 0061,2026-08-24,Qualified,0.35,2025-04-01,669400
Project 0061,2026-07-24,Qualified,0.35,2025-04-01,669400
Project 0061,2026-06-24,Qualified,0.35,2025-04-01,669400
Project 0061,2026-05-24,Qualified,0.35,2025-04-01,669400
Project 0061,2026-04-24,Qualified,0.35,2025-04-01,669400
Project 0061,2026-03-24,Qualified,0.35,2025-04-01,669400
Project 0062,2026-08-24,Prospect,0.15,2027-03-16,497700
Project 0062,2026-07-24,Prospect,0.15,2027-03-16,497700
Project 0062,2026-06-24,Prospect,0.15,2027-03-16,497700
Project 0062,2026-05-24,Prospect,0.15,2027-03-16,497700
Project 0062,2026-04-24,Prospect,0.15,2027-03-16,497700
Project 0062,2026-03-24,Prospect,0.15,2027-03-16,497700
Project 0063,2026-08-24,In Delivery,0.75,2025-09-25,493000
Project 0063,2026-07-24,In Delivery,0.75,2025-09-25,493000
Project 0063,2026-06-24,In Delivery,0.75,2025-09-25,493000
Project 0063,2026-05-24,In Delivery,0.75,2025-09-25,493000
Project 0063,2026-04-24,In Delivery,0.75,2025-09-25,493000
Project 0063,2026-03-24,In Delivery,0.75,2025-09-25,493000
Project 0064,2026-08-24,In Delivery,0.75,2026-01-20,930400
Project 0064,2026-07-24,In Delivery,0.75,2026-01-20,930400
Project 0064,2026-06-24,In Delivery,0.75,2026-01-20,930400
Project 0064,2026-05-24,In Delivery,0.75,2026-01-20,930400
Project 0064,2026-04-24,In Delivery,0.75,2026-01-20,930400
Project 0064,2026-03-24,In Delivery,0.75,2026-01-20,930400
Project 0065,2026-08-24,Qualified,0.35,2025-11-06,786000
Project 0065,2026-07-24,Qualified,0.35,2025-11-06,786000
Project 0065,2026-06-24,Qualified,0.35,2025-11-06,786000
Project 0065,2026-05-24,Qualified,0.35,2025-11-06,786000
Project 0065,2026-04-24,Qualified,0.35,2025-11-06,786000
Project 0065,2026-03-24,Qualified,0.35,2025-11-06,786000
Project 0066,2026-08-24,Prospect,0.15,2025-11-20,607800
Project 0066,2026-07-24,Prospect,0.15,2025-11-20,607800
Project 0066,2026-06-24,Prospect,0.15,2025-11-20,607800
Project 0066,2026-05-24,Prospect,0.15,2025-11-20,607800
Project 0066,2026-04-24,Prospect,0.15,2025-11-20,607800
Project 0066,2026-03-24,Prospect,0.15,2025-11-20,607800
Project 0067,2026-08-24,In Delivery,0.75,2025-03-12,265200
Project 0067,2026-07-24,In Delivery,0.75,2025-03-12,265200
Project 0067,2026-06-24,In Delivery,0.75,2025-03-12,265200
Project 0067,2026-05-24,In Delivery,0.75,2025-03-12,265200
Project 0067,2026-04-24,In Delivery,0.75,2025-03-12,265200
Project 0067,2026-03-24,In Delivery,0.75,2025-03-12,265200
Project 0068,2026-08-24,Closed Won,1.0,2026-01-25,1028250
Project 0068,2026-07-24,Closed Won,1.0,2026-01-25,1028250
Project 0068,2026-06-24,Closed Won,1.0,2026-01-25,1028250
Project 0068,2026-05-24,Closed Won,1.0,2026-01-25,1028250
Project 0068,2026-04-24,Closed Won,1.0,2026-01-25,1028250
Project 0068,2026-03-24,Closed Won,1.0,2026-01-25,1028250
Project 0069,2026-08-24,Qualified,0.35,2027-04-21,549200
Project 0069,2026-07-24,Qualified,0.35,2027-04-21,549200
Project 0069,2026-06-24,Qualified,0.35,2027-04-21,549200
Project 0069,2026-05-24,Qualified,0.35,2027-04-21,549200
Project 0069,2026-04-24,Qualified,0.35,2027-04-21,549200
Project 0069,2026-03-24,Qualified,0.35,2027-04-21,549200
Project 0070,2026-08-24,Qualified,0.35,2025-12-24,730000
Project 0070,2026-07-24,Qualified,0.35,2025-12-24,730000
Project 0070,2026-06-24,Qualified,0.35,2025-12-24,730000
Project 0070,2026-05-24,Qualified,0.35,2025-12-24,730000
Project 0070,2026-04-24,Qualified,0.35,2025-12-24,730000
Project 0070,2026-03-24,Qualified,0.35,2025-12-24,730000
Project 0071,2026-08-24,In Delivery,0.75,2026-04-10,429000
Project 0071,2026-07-24,In Delivery,0.75,2026-04-10,429000
Project 0071,2026-06-24,In Delivery,0.75,2026-04-10,429000
Project 0071,2026-05-24,In Delivery,0.75,2026-04-10,429000
Project 0071,2026-04-24,In Delivery,0.75,2026-04-10,429000
