project_name,business_unit,client_name,stage,start_date,billable_hours,bill_rate_per_hour,utilization_percent,win_probability
Project 028,X Design,Client A,Closed Won,2025-09-02,1730,250.0,97,0.6131886567764182
Project 029,X Design,Client B,Qualified,2025-10-21,1425,250.0,55,0.6728320865185162
Project 030,X Build,Client C,Closed Won,2026-08-10,1376,150.0,77,0.46972935254431075
Project 031,X Build,Client C,Prospect,2025-10-11,598,300.0,66,0.48847026166456664
Project 032,X Design,Client B,Prospect,2025-10-14,853,200.0,54,0.5640989141732358
Project 033,X Design,Client C,Closed Won,2026-07-18,134,250.0,80,0.3140498384444084
Project 034,X Design,Client C,In Delivery,2026-03-03,826,250.0,54,0.5254554159082248
Project 035,X Build,Client A,In Delivery,2026-08-03,948,200.0,87,0.44801360489758124
Project 036,X Design,Client C,Prospect,2025-10-06,189,200.0,52,0.5292481465245402
Project 037,X Build,Client C,Prospect,2025-12-02,875,250.0,72,0.38383349227347585
Project 038,X Build,Client B,In Delivery,2026-04-03,704,250.0,86,0.9233690965179264
Project 039,X Build,Client B,In Delivery,2026-04-02,1069,200.0,86,0.715514717487834
Project 040,X Build,Client A,Closed Won,2026-05-23,1725,250.0,59,0.7753716234011427
Project 041,X Build,Client C,Closed Won,2025-09-03,1121,150.0,59,0.8524198670251368
Project 042,X Design,Client C,In Delivery,2025-10-05,517,150.0,68,0.6489095392503401
Project 043,X Design,Client C,Closed Won,2025-11-08,214,200.0,66,0.3608442016611966
Project 044,X Design,Client A,Closed Won,2026-01-20,716,300.0,70,0.6759745792729834
Project 045,X Design,Client A,Qualified,2025-09-15,1319,200.0,63,0.7107887826146153
Project 046,X Design,Client B,Closed Won,2026-07-03,925,200.0,58,0.8218076319290311
Project 047,X Build,Client A,Prospect,2026-03-23,1624,300.0,95,0.6021616823607756
Project 048,X Design,Client C,Closed Won,2026-02-18,1749,300.0,50,0.38930621195689463
Project 049,X Design,Client C,Closed Won,2026-06-21,1616,300.0,94,0.4986431340591071
Project 050,X Build,Client A,In Delivery,2026-02-14,1198,150.0,62,0.5541576074790445
Project 051,X Design,Client C,Prospect,2026-04-20,512,250.0,53,0.7521420689321208
Project 052,X Build,Client C,Closed Won,2026-03-26,1499,150.0,50,0.6995448132682383
Project 053,X Design,Client A,Closed Won,2025-10-13,1543,250.0,98,0.5492677081284923
Project 054,X Build,Client A,Qualified,2026-06-26,828,150.0,89,0.9905606741550856
Project 055,X Design,Client C,Closed Won,2025-09-15,1400,250.0,81,0.7240423735498209
Project 056,X Design,Client C,Closed Won,2025-10-22,1120,150.0,83,0.4660587542151961
Project 057,X Build,Client C,Qualified,2026-02-24,860,300.0,77,0.3712477308342826
Project 058,X Build,Client B,In Delivery,2026-03-06,775,200.0,80,0.4070013974290324
Project 059,X Build,Client B,Closed Won,2025-10-01,1517,150.0,57,0.4721704098691557
Project 060,X Build,Client B,Qualified,2025-11-25,1992,250.0,88,0.412476961281689
Project 061,X Build,Client A,Prospect,2026-06-30,556,300.0,75,0.43059691683591406
Project 062,X Build,Client B,In Delivery,2026-05-14,1019,150.0,83,0.4995666180856929
Project 063,X Build,Client A,Prospect,2025-12-02,291,150.0,52,0.4213615167063284
Project 064,X Build,Client A,Prospect,2026-07-01,838,300.0,99,0.9277357972384976
Project 065,X Design,Client B,Qualified,2026-06-24,1812,150.0,61,0.35616362196314955
Project 066,X Design,Client B,Closed Won,2026-05-07,1222,200.0,50,0.6671579726991783
Project 067,X Build,Client B,Qualified,2026-08-18,1671,150.0,93,0.587277778892763
Project 068,X Design,Client C,Qualified,2026-05-12,1077,200.0,54,0.9876650318360245
Project 069,X Design,Client B,Qualified,2026-02-08,1108,200.0,79,0.37842723151763663
Project 070,X Design,Client C,Qualified,2025-12-04,195,300.0,79,0.5784989193320191
Project 071,X Design,Client A,In Delivery,2025-09-07,1787,150.0,66,0.9786293032927582
Project 072,X Build,Client C,Closed Won,2026-07-07,762,300.0,97,0.9058549881257862
Project 073,X Design,Client B,Prospect,2025-09-02,1313,150.0,96,0.8719504496644959
Project 074,X Build,Client A,Prospect,2025-10-16,1859,150.0,72,0.4805319789314578
Project 075,X Design,Client A,Closed Won,2025-10-19,136,250.0,64,0.4196213111730461
Project 076,X Design,Client A,Prospect,2026-04-01,1903,150.0,86,0.7680502539471017
Project 077,X Design,Client C,Closed Won,2025-11-27,1492,300.0,70,0.9505631923893101
Project 078,X Build,Client B,Prospect,2026-04-21,1818,200.0,63,0.6897340251097508
Project 079,X Design,Client A,Qualified,2026-05-09,1648,150.0,51,0.7001288826289298
Project 080,X Build,Client A,Prospect,2026-03-18,378,250.0,60,0.4959853655621989
Project 081,X Design,Client A,Closed Won,2026-03-29,316,300.0,88,0.8386450532343557
Project 082,X Build,Client C,Closed Won,2026-03-31,966,150.0,87,0.4309306239902664
Project 083,X Design,Client C,Closed Won,2026-04-25,972,300.0,83,0.5265754654829705
Project 084,X Build,Client B,Closed Won,2025-10-08,1921,250.0,87,0.5978055070314917
Project 085,X Build,Client C,Closed Won,2025-11-21,1396,250.0,99,0.6553272650791184
Project 086,X Design,Client A,In Delivery,2026-05-23,161,300.0,83,0.4696868126905561
Project 087,X Build,Client B,In Delivery,2026-06-26,695,150.0,67,0.38038577731744244
Project 088,X Design,Client A,Prospect,2025-09-11,828,200.0,79,0.7274340297091428
Project 089,X Design,Client A,Closed Won,2026-01-06,1465,250.0,64,0.502041387268179
Project 090,X Design,Client C,Prospect,2026-04-28,496,150.0,76,0.7068667549958285
Project 091,X Design,Client B,Closed Won,2025-10-09,798,150.0,83,0.4080539006919416
Project 092,X Design,Client C,Closed Won,2025-11-17,1142,200.0,87,0.6367980712983722
Project 093,X Design,Client C,In Delivery,2026-04-18,276,250.0,82,0.6728126027861101
Project 094,X Design,Client B,In Delivery,2026-04-16,1735,250.0,73,0.3362764757756988
Project 095,X Design,Client A,Qualified,2026-06-26,495,150.0,64,0.5356229947357444
Project 096,X Design,Client A,In Delivery,2026-04-23,544,150.0,79,0.39409027385728196
Project 097,X Design,Client B,Qualified,2026-08-22,1356,200.0,91,0.3443624793309374
Project 098,X Design,Client A,Qualified,2025-12-27,175,200.0,66,0.9929721626729615
Project 099,X Build,Client B,Qualified,2025-11-06,364,250.0,54,0.5256476914823061
Project 100,X Build,Client B,Qualified,2026-05-19,554,300.0,78,0.8669121120982444
Project 101,X Design,Client C,Qualified,2026-04-19,1919,250.0,53,0.4782484583346347
Project 102,X Design,Client B,Prospect,2026-04-27,817,150.0,59,0.7770519055567504
Project 103,X Design,Client C,In Delivery,2026-07-06,834,250.0,66,0.8321595019227805
Project 104,X Design,Client A,Qualified,2026-05-26,1507,300.0,59,0.716947118425491
Project 105,X Design,Client A,Closed Won,2025-12-29,1687,200.0,66,0.6301033319851108
Project 106,X Design,Client A,In Delivery,2025-11-24,950,300.0,69,0.588288639903088
Project 107,X Design,Client A,In Delivery,2026-02-15,1629,300.0,73,0.5442077865800967
Project 108,X Design,Client C,Qualified,2026-02-12,1490,300.0,54,0.9506704009734781
Project 109,X Build,Client A,Prospect,2026-06-15,243,200.0,83,0.8814335854514104
Project 110,X Design,Client B,Qualified,2025-11-18,984,300.0,55,0.9755188374665587
Project 111,X Build,Client B,Prospect,2025-09-08,1192,300.0,51,0.3870080564398813
Project 112,X Design,Client B,Closed Won,2025-12-19,1222,300.0,62,0.811607232642551
Project 113,X Design,Client C,In Delivery,2026-06-08,495,150.0,92,0.9568383197747263
Project 114,X Build,Client A,Closed Won,2026-03-22,1148,300.0,92,0.4268631463159621
Project 115,X Design,Client A,Prospect,2026-04-01,1047,200.0,97,0.3465473871567442
Project 116,X Build,Client A,Prospect,2026-05-29,990,300.0,60,0.8187844545030414
Project 117,X Design,Client C,Closed Won,2026-02-19,1592,300.0,96,0.7021311792259384
Project 118,X Design,Client B,Prospect,2025-11-11,1607,200.0,72,0.8892801437307905
Project 119,X Build,Client B,Closed Won,2026-01-15,1688,300.0,65,0.39784066363840265
Project 120,X Design,Client A,In Delivery,2026-06-15,1274,200.0,80,0.8566871183019231
Project 121,X Build,Client B,Closed Won,2026-07-07,1267,300.0,60,0.44113912403342115
Project 122,X Design,Client B,In Delivery,2026-05-21,668,200.0,65,0.41455916000599313
Project 123,X Build,Client C,Closed Won,2025-12-28,1162,300.0,57,0.414986058551695
Project 124,X Build,Client C,Prospect,2026-01-31,208,300.0,53,0.8702023041619675
Project 125,X Design,Client C,Closed Won,2026-01-17,1816,150.0,89,0.76563805448734
Project 126,X Design,Client C,Prospect,2025-09-16,1165,150.0,53,0.6661457973383835
Project 127,X Build,Client A,Closed Won,2026-07-15,1309,300.0,74,0.5511813388864517
Project 128,X Design,Client C,Closed Won,2026-05-15,1034,300.0,52,0.9140403785691757
Project 129,X Design,Client B,Qualified,2025-11-07,497,250.0,81,0.5747115751958447
Project 130,X Design,Client A,Prospect,2025-12-12,1346,200.0,52,0.8716196076301039
Project 131,X Build,Client B,Qualified,2026-01-13,733,250.0,76,0.6073944359991529
Project 132,X Build,Client B,Prospect,2025-08-31,1256,150.0,78,0.5638611005974352
Project 133,X Build,Client B,Qualified,2026-07-31,1286,150.0,81,0.6238758499687245
Project 134,X Build,Client C,In Delivery,2025-12-16,1338,150.0,99,0.5109645119148994
Project 135,X Build,Client C,Closed Won,2026-08-13,832,150.0,68,0.8233265661233757
Project 136,X Build,Client A,Prospect,2025-12-20,334,300.0,70,0.6519042730647353
Project 137,X Build,Client A,Prospect,2025-10-02,1966,150.0,54,0.4625488866027721
Project 138,X Build,Client C,Closed Won,2026-05-15,757,300.0,67,0.9297022012921978
Project 139,X Build,Client B,Prospect,2025-11-06,850,300.0,77,0.5687238549612479
Project 140,X Design,Client A,Prospect,2026-02-24,687,150.0,91,0.680487002779792
Project 141,X Build,Client C,Qualified,2026-01-12,1132,150.0,71,0.9345304776751828
Project 142,X Design,Client C,Prospect,2025-12-16,1197,200.0,70,0.7369665971397945
Project 143,X Design,Client C,In Delivery,2026-03-29,1053,250.0,55,0.38182862849585486
Project 144,X Design,Client B,In Delivery,2026-05-19,591,150.0,50,0.9578824865294326
Project 145,X Build,Client C,Closed Won,2025-12-09,1012,200.0,54,0.7393956371499925
Project 146,X Build,Client C,Prospect,2025-10-02,1376,200.0,90,0.5344339302599602
Project 147,X Build,Client C,Closed Won,2026-08-19,1353,250.0,61,0.39749045086437107
Project 148,X Build,Client C,In Delivery,2026-08-07,1642,300.0,75,0.8558176324892071
Project 149,X Design,Client A,Prospect,2025-11-16,1297,150.0,95,0.7340509291499595
