project_name,client_name,business_unit,stage,status,start_date,end_date,contract_value,billing_rate,planned_hours
Project 0051,Client 016,X Design,Prospect,Active,2026-08-05,2027-06-24,1515850,350,4331
Project 0052,Client 087,Digital Ventures,Closed Won,Completed,2025-09-05,2026-08-18,409800,300,1366
Project 0053,Client 022,X Design,Prospect,Active,2025-01-27,2025-10-03,787200,200,3936
Project 0054,Client 097,X Build,Closed Won,Completed,2026-07-02,2026-12-09,383000,200,1915
Project 0055,Client 099,Digital Ventures,Qualified,Active,2025-09-09,2025-12-24,61200,300,204
Project 0056,Client 030,Digital Ventures,Prospect,Active,2024-11-27,2025-05-11,912800,200,4564
Project 0057,Client 055,X Design,Closed Won,Completed,2024-12-29,2025-04-25,257500,250,1030
Project 0058,Client 058,X Design,Prospect,Active,2026-04-20,2026-10-25,126400,400,316
Project 0059,Client 089,X Build,Prospect,Active,2026-04-29,2026-08-14,1219600,400,3049
Project 0060,Client 022,X Build,Qualified,Active,2024-09-20,2025-01-26,1240050,350,3543
Project 0061,Client 057,X Build,Qualified,Active,2024-11-07,2025-04-01,669400,200,3347
Project 0062,Client 062,X Build,Prospect,Active,2026-05-23,2027-03-16,497700,150,3318
Project 0063,Client 100,X Build,In Delivery,Active,2025-06-19,2025-09-25,493000,200,2465
Project 0064,Client 069,X Design,In Delivery,Active,2025-03-21,2026-01-20,930400,200,4652
Project 0065,Client 069,X Build,Qualified,Active,2024-12-25,2025-11-06,786000,200,3930
Project 0066,Client 091,X Design,Prospect,Active,2025-04-15,2025-11-20,607800,200,3039
Project 0067,Client 012,Digital Ventures,In Delivery,Active,2024-10-03,2025-03-12,265200,150,1768
Project 0068,Client 013,Digital Ventures,Closed Won,Completed,2025-02-15,2026-01-25,1028250,250,4113
Project 0069,Client 081,X Design,Qualified,Active,2026-07-21,2027-04-21,549200,200,2746
Project 0070,Client 007,X Design,Qualified,Active,2025-07-03,2025-12-24,730000,400,1825
Project 0071,Client 021,X Build,In Delivery,Active,2025-07-08,2026-04-10,429000,250,1716
Project 0072,Client 099,X Build,Qualified,Active,2025-05-25,2026-01-31,1282750,350,3665
Project 0073,Client 023,X Design,Closed Won,Completed,2026-05-21,2026-12-18,354200,200,1771
Project 0074,Client 023,X Build,In Delivery,Active,2024-09-29,2024-12-10,607650,150,4051
Project 0075,Client 086,X Build,Qualified,Active,2025-01-06,2025-10-09,1660800,400,4152
Project 0076,Client 009,Digital Ventures,Closed Won,Completed,2026-01-04,2026-05-19,208250,350,595
Project 0077,Client 069,Digital Ventures,Closed Lost,Active,2025-04-06,2025-10-26,894600,300,2982
Project 0078,Client 023,X Build,In Delivery,Active,2025-04-28,2025-08-18,1098300,350,3138
Project 0079,Client 005,Digital Ventures,Prospect,Active,2026-01-14,2026-07-14,1272800,400,3182
Project 0080,Client 076,X Build,Closed Won,Completed,2024-11-05,2025-08-30,1132500,250,4530
Project 0081,Client 007,X Design,Closed Won,Completed,2025-12-15,2026-09-30,410850,150,2739
Project 0082,Client 005,X Build,Closed Won,Completed,2024-11-29,2025-08-09,798250,250,3193
Project 0083,Client 071,X Build,Prospect,Active,2025-09-17,2026-04-09,905100,350,2586
Project 0084,Client 061,X Design,In Delivery,Active,2025-12-16,2026-11-15,810800,400,2027
Project 0085,Client 067,X Build,Closed Won,Completed,2025-03-12,2025-06-18,182600,200,913
Project 0086,Client 092,X Build,Prospect,Active,2026-06-28,2027-01-21,577200,400,1443
Project 0087,Client 063,X Build,Closed Won,Completed,2025-08-03,2026-04-09,323700,150,2158
Project 0088,Client 058,X Build,Prospect,Active,2026-04-30,2026-11-09,451200,400,1128
Project 0089,Client 075,X Build,Closed Lost,Active,2026-06-06,2027-03-05,718200,350,2052
Project 0090,Client 049,X Design,Qualified,Active,2026-07-09,2027-04-27,742400,200,3712
Project 0091,Client 016,Digital Ventures,Qualified,Active,2025-02-05,2025-12-20,1324400,350,3784
Project 0092,Client 008,X Design,Prospect,Active,2025-07-13,2026-02-13,621200,400,1553
Project 0093,Client 028,X Build,Prospect,Active,2025-10-13,2026-06-07,877000,200,4385
Project 0094,Client 073,X Build,Closed Lost,Active,2025-04-10,2025-10-31,993750,250,3975
Project 0095,Client 006,X Design,Qualified,Active,2025-02-13,2025-05-18,812400,300,2708
Project 0096,Client 056,X Design,Qualified,Active,2025-06-01,2025-08-09,305700,150,2038
Project 0097,Client 018,Digital Ventures,Closed Won,Completed,2025-08-16,2025-12-18,182250,150,1215
Project 0098,Client 099,Digital Ventures,Prospect,Active,2024-10-05,2025-03-11,653700,150,4358
Project 0099,Client 003,X Build,Qualified,Active,2024-09-15,2025-03-26,1443900,300,4813
Project 0100,Client 017,X Build,In Delivery,Active,2024-09-10,2025-01-30,1342600,350,3836
Project 0101,Client 004,X Design,In Delivery,Active,2024-10-09,2025-06-30,562000,250,2248
Project 0102,Client 072,Digital Ventures,Closed Won,Completed,2025-09-11,2026-02-12,956600,200,4783
Project 0103,Client 050,X Build,In Delivery,Active,2026-04-29,2027-03-13,349200,400,873
Project 0104,Client 047,Digital Ventures,In Delivery,Active,2025-07-20,2026-01-07,235200,400,588
Project 0105,Client 038,X Design,Closed Won,Completed,2026-06-11,2026-11-20,836200,200,4181
Project 0106,Client 038,X Build,Qualified,Active,2025-06-16,2026-04-20,389500,250,1558
Project 0107,Client 005,X Build,Closed Won,Completed,2025-02-08,2025-06-28,967400,200,4837
Project 0108,Client 034,X Design,Prospect,Active,2025-04-04,2025-08-10,734400,200,3672
Project 0109,Client 075,Digital Ventures,In Delivery,Active,2026-07-13,2027-05-08,1800000,400,4500
Project 0110,Client 025,Digital Ventures,In Delivery,Active,2025-08-30,2026-04-30,1093500,300,3645
Project 0111,Client 051,Digital Ventures,Closed Won,Completed,2024-10-22,2025-02-19,303100,350,866
Project 0112,Client 005,X Build,Closed Won,Completed,2025-03-09,2025-05-08,979800,200,4899
Project 0113,Client 045,Digital Ventures,Qualified,Active,2026-06-08,2027-03-12,663400,200,3317
Project 0114,Client 056,X Design,Prospect,Active,2026-01-23,2026-11-17,374400,150,2496
Project 0115,Client 036,X Build,Prospect,Active,2025-09-22,2025-12-16,1520050,350,4343
Project 0116,Client 056,X Design,Prospect,Active,2024-09-05,2025-03-10,442800,300,1476
Project 0117,Client 014,Digital Ventures,Qualified,Active,2026-01-21,2026-08-22,1729200,400,4323
Project 0118,Client 018,X Design,Qualified,Active,2025-08-27,2026-06-21,738400,400,1846
Project 0119,Client 074,Digital Ventures,Qualified,Active,2024-12-02,2025-02-27,315900,150,2106
Project 0120,Client 013,X Build,Qualified,Active,2025-03-06,2025-09-26,97500,300,325
Project 0121,Client 100,Digital Ventures,In Delivery,Active,2026-05-08,2026-11-29,39900,150,266
Project 0122,Client 041,X Build,Closed Won,Completed,2025-01-07,2025-04-18,737700,150,4918
Project 0123,Client 033,X Build,Qualified,Active,2025-10-14,2026-07-29,490250,250,1961
Project 0124,Client 004,X Design,Prospect,Active,2025-04-09,2025-09-27,773200,400,1933
Project 0125,Client 040,X Build,Prospect,Active,2025-12-25,2026-03-25,389550,150,2597
Project 0126,Client 075,Digital Ventures,Closed Lost,Active,2025-05-14,2026-02-17,41000,200,205
Project 0127,Client 057,X Design,Closed Won,Completed,2025-04-08,2025-08-07,1251200,400,3128
Project 0128,Client 012,Digital Ventures,In Delivery,Active,2026-01-12,2026-04-01,402300,300,1341
Project 0129,Client 033,X Design,Closed Won,Completed,2026-04-08,2027-02-20,1979600,400,4949
Project 0130,Client 002,X Build,Qualified,Active,2024-11-13,2025-07-02,73150,350,209
Project 0131,Client 073,X Build,In Delivery,Active,2025-10-10,2026-03-19,272850,150,1819
Project 0132,Client 095,X Build,Prospect,Active,2025-07-02,2025-12-02,1263200,400,3158
Project 0133,Client 034,Digital Ventures,Closed Won,Completed,2025-09-25,2026-04-09,1268100,300,4227
Project 0134,Client 014,X Design,Prospect,Active,2025-01-30,2025-12-22,1436400,400,3591
Project 0135,Client 004,X Build,Closed Won,Completed,2026-06-08,2026-10-07,774500,250,3098
Project 0136,Client 014,Digital Ventures,Closed Won,Completed,2025-11-02,2026-10-22,467200,200,2336
Project 0137,Client 097,Digital Ventures,In Delivery,Active,2024-10-29,2025-05-21,730500,150,4870
Project 0138,Client 051,Digital Ventures,Qualified,Active,2024-12-17,2025-05-29,768950,350,2197
Project 0139,Client 029,X Build,Prospect,Active,2025-02-17,2025-05-02,706500,250,2826
Project 0140,Client 038,X Build,In Delivery,Active,2025-07-01,2026-02-02,363500,250,1454
Project 0141,Client 086,X Design,Qualified,Active,2025-12-14,2026-08-26,172500,150,1150
Project 0142,Client 013,Digital Ventures,Closed Won,Completed,2026-04-29,2027-04-17,309750,150,2065
Project 0143,Client 068,X Build,Qualified,Active,2026-03-21,2026-07-05,1199800,350,3428
Project 0144,Client 043,Digital Ventures,Closed Won,Completed,2025-11-06,2026-10-13,73500,250,294
Project 0145,Client 072,Digital Ventures,Qualified,Active,2025-02-21,2025-09-02,1722400,400,4306
Project 0146,Client 013,X Design,In Delivery,Active,2025-07-25,2026-04-28,637250,250,2549
Project 0147,Client 037,Digital Ventures,Prospect,Active,2024-10-11,2025-04-21,551700,300,1839
Project 0148,Client 078,X Build,Prospect,Active,2026-07-05,2026-10-01,160600,200,803
Project 0149,Client 036,X Design,Closed Won,Completed,2024-12-20,2025-06-07,796800,400,1992
Project 0150,Client 047,X Build,Closed Won,Completed,2025-02-04,2025-08-31,1308800,400,3272
Project 0151,Client 026,X Build,Closed Won,Completed,2025-10-16,2026-04-10,120300,300,401
Project 0152,Client 002,Digital Ventures,Prospect,Active,2026-06-11,2027-05-30,147200,200,736
Project 0153,Client 043,Digital Ventures,Qualified,Active,2025-03-14,2025-09-17,154250,250,617
Project 0154,Client 088,X Build,In Delivery,Active,2026-02-26,2026-11-10,210750,150,1405
Project 0155,Client 028,X Design,Qualified,Active,2024-11-01,2025-06-02,1089500,250,4358
Project 0156,Client 020,X Design,In Delivery,Active,2026-06-02,2027-01-24,174900,150,1166
Project 0157,Client 096,X Build,Closed Won,Completed,2025-10-02,2026-08-14,288600,150,1924
Project 0158,Client 030,X Build,Qualified,Active,2025-10-11,2026-01-10,670500,250,2682
Project 0159,Client 018,X Build,In Delivery,Active,2026-04-03,2026-06-20,680000,400,1700
Project 0160,Client 094,X Design,Closed Won,Completed,2025-04-10,2025-09-29,651400,200,3257
Project 0161,Client 032,X Design,Closed Won,Completed,2026-07-01,2027-01-07,1237250,350,3535
Project 0162,Client 055,X Design,Qualified,Active,2025-08-10,2026-01-03,420200,200,2101
Project 0163,Client 067,Digital Ventures,Closed Won,Completed,2025-10-16,2026-08-18,491850,150,3279
Project 0164,Client 067,Digital Ventures,In Delivery,Active,2025-12-29,2026-10-13,210800,400,527
Project 0165,Client 078,X Design,In Delivery,Active,2026-05-21,2026-10-15,650800,200,3254
Project 0166,Client 085,X Design,Closed Won,Completed,2026-03-13,2026-11-09,1424100,300,4747
Project 0167,Client 033,Digital Ventures,Qualified,Active,2026-08-18,2027-07-06,228600,200,1143
Project 0168,Client 060,X Design,Closed Won,Completed,2025-02-23,2026-02-02,1363250,350,3895
Project 0169,Client 087,Digital Ventures,Closed Won,Completed,2025-08-04,2026-04-15,758800,200,3794
Project 0170,Client 009,X Design,Qualified,Active,2025-12-12,2026-09-19,401600,400,1004
Project 0171,Client 081,X Design,Closed Won,Completed,2025-08-26,2026-07-31,1510800,400,3777
Project 0172,Client 081,X Design,In Delivery,Active,2026-04-19,2027-01-27,922400,400,2306
Project 0173,Client 025,Digital Ventures,Prospect,Active,2025-02-19,2025-12-12,415950,150,2773
Project 0174,Client 026,X Design,Qualified,Active,2025-04-18,2025-06-20,375250,250,1501
Project 0175,Client 085,X Design,Closed Won,Completed,2026-06-11,2027-01-02,999950,350,2857
Project 0176,Client 076,Digital Ventures,In Delivery,Active,2024-10-17,2025-05-17,342150,150,2281
Project 0177,Client 006,Digital Ventures,Prospect,Active,2026-07-29,2027-07-10,189350,350,541
Project 0178,Client 046,X Design,In Delivery,Active,2024-10-09,2025-06-15,130800,200,654
Project 0179,Client 026,X Build,Prospect,Active,2024-10-01,2025-09-17,237900,150,1586
Project 0180,Client 039,Digital Ventures,Qualified,Active,2026-05-04,2027-01-05,677400,300,2258
Project 0181,Client 056,X Build,Closed Won,Completed,2025-07-15,2025-11-20,1740000,400,4350
Project 0182,Client 081,X Design,Qualified,Active,2025-05-15,2026-02-25,285000,300,950
Project 0183,Client 073,X Build,Closed Lost,Active,2026-03-24,2026-08-03,102150,150,681
Project 0184,Client 025,Digital Ventures,Qualified,Active,2024-12-17,2025-03-28,65000,250,260
Project 0185,Client 051,X Design,Prospect,Active,2026-05-09,2026-12-26,1319150,350,3769
Project 0186,Client 074,X Build,Prospect,Active,2026-07-12,2026-09-26,882700,350,2522
Project 0187,Client 083,Digital Ventures,Qualified,Active,2025-01-10,2025-10-12,1722800,400,4307
Project 0188,Client 072,X Build,Closed Won,Completed,2025-08-16,2026-04-30,682500,350,1950
Project 0189,Client 047,X Design,Closed Won,Completed,2025-04-23,2025-07-17,981500,250,3926
Project 0190,Client 007,X Design,In Delivery,Active,2026-05-31,2027-04-05,120000,200,600
Project 0191,Client 093,X Design,Prospect,Active,2024-10-06,2025-07-07,1108000,250,4432
Project 0192,Client 017,X Design,Closed Won,Completed,2025-07-19,2025-12-28,654750,250,2619
Project 0193,Client 037,Digital Ventures,In Delivery,Active,2026-05-19,2026-11-25,860100,300,2867
Project 0194,Client 004,X Build,Qualified,Active,2026-07-17,2026-09-29,1343400,300,4478
Project 0195,Client 066,Digital Ventures,In Delivery,Active,2026-08-09,2027-01-23,445350,150,2969
Project 0196,Client 013,X Build,In Delivery,Active,2025-12-17,2026-10-19,298000,400,745
Project 0197,Client 062,X Build,Qualified,Active,2026-07-17,2026-10-13,1002500,250,4010
Project 0198,Client 056,Digital Ventures,Qualified,Active,2024-09-27,2025-08-24,133200,300,444
Project 0199,Client 094,X Build,Qualified,Active,2025-08-01,2025-12-03,336000,300,1120
Project 0200,Client 062,X Build,Prospect,Active,2025-10-05,2026-04-28,546000,400,1365
Project 0201,Client 059,X Design,Prospect,Active,2025-01-17,2025-08-04,316400,350,904
Project 0202,Client 039,Digital Ventures,Closed Won,Completed,2025-08-10,2026-04-24,1067000,250,4268
Project 0203,Client 071,Digital Ventures,Closed Won,Completed,2026-01-11,2026-08-11,84000,400,210
Project 0204,Client 098,X Build,Qualified,Active,2025-04-19,2025-10-02,271000,250,1084
Project 0205,Client 005,X Build,Qualified,Active,2025-12-09,2026-10-26,600000,200,3000
Project 0206,Client 020,X Design,In Delivery,Active,2025-03-22,2025-08-27,138900,150,926
Project 0207,Client 082,X Design,In Delivery,Active,2025-07-02,2026-02-24,422800,200,2114
Project 0208,Client 073,X Design,Closed Lost,Active,2026-04-27,2026-09-22,50500,250,202
Project 0209,Client 092,X Build,Closed Won,Completed,2025-10-06,2026-04-06,223500,150,1490
Project 0210,Client 025,X Build,Closed Won,Completed,2025-03-22,2025-06-29,311000,200,1555
Project 0211,Client 005,X Design,Closed Won,Completed,2026-07-18,2027-05-24,354900,300,1183
Project 0212,Client 069,X Build,In Delivery,Active,2024-10-06,2025-09-14,70800,300,236
Project 0213,Client 058,Digital Ventures,Closed Won,Completed,2026-01-13,2026-07-06,1158850,350,3311
Project 0214,Client 088,Digital Ventures,Qualified,Active,2025-11-09,2026-09-26,1445500,350,4130
Project 0215,Client 048,X Build,Closed Won,Completed,2025-01-31,2025-05-29,350850,150,2339
Project 0216,Client 100,Digital Ventures,Qualified,Active,2024-10-01,2025-05-18,420600,150,2804
Project 0217,Client 031,Digital Ventures,In Delivery,Active,2025-02-14,2025-12-19,1748250,350,4995
Project 0218,Client 039,Digital Ventures,Prospect,Active,2025-06-14,2026-01-17,729750,250,2919
Project 0219,Client 039,X Design,Prospect,Active,2025-01-13,2025-03-25,1411600,400,3529
Project 0220,Client 017,Digital Ventures,Qualified,Active,2026-05-04,2027-02-20,829250,250,3317
Project 0221,Client 096,X Design,Qualified,Active,2024-10-19,2025-03-01,1660050,350,4743
Project 0222,Client 068,X Design,Qualified,Active,2026-07-19,2027-06-21,308400,400,771
Project 0223,Client 022,X Design,Closed Won,Completed,2025-07-20,2026-03-29,372000,300,1240
Project 0224,Client 029,Digital Ventures,Prospect,Active,2024-09-20,2025-05-12,1021200,400,2553
Project 0225,Client 011,X Build,Prospect,Active,2026-08-18,2026-11-14,788400,300,2628
Project 0226,Client 087,X Design,Qualified,Active,2025-05-23,2025-09-17,1049750,250,4199
Project 0227,Client 015,Digital Ventures,Prospect,Active,2026-05-18,2026-08-24,1066800,300,3556
Project 0228,Client 078,X Design,Closed Won,Completed,2026-04-17,2026-12-07,389400,300,1298
Project 0229,Client 056,X Build,Prospect,Active,2025-08-08,2026-05-30,596700,150,3978
Project 0230,Client 058,X Design,Closed Won,Completed,2024-11-04,2025-09-16,1267800,300,4226
Project 0231,Client 015,Digital Ventures,Qualified,Active,2025-03-19,2026-02-15,545000,250,2180
Project 0232,Client 079,Digital Ventures,Closed Lost,Active,2024-12-28,2025-03-05,177600,150,1184
Project 0233,Client 060,X Design,Closed Won,Completed,2024-10-01,2024-12-23,1393200,300,4644
Project 0234,Client 084,X Build,In Delivery,Active,2026-01-31,2026-12-29,108900,150,726
Project 0235,Client 002,Digital Ventures,Qualified,Active,2025-04-11,2025-10-04,364800,300,1216
Project 0236,Client 038,Digital Ventures,Closed Lost,Active,2025-11-24,2026-04-27,1038800,350,2968
Project 0237,Client 086,Digital Ventures,In Delivery,Active,2025-06-26,2026-05-18,897200,400,2243
Project 0238,Client 079,X Design,Prospect,Active,2026-07-10,2027-02-14,794400,300,2648
Project 0239,Client 097,X Build,In Delivery,Active,2025-12-26,2026-02-25,584000,200,2920
Project 0240,Client 026,X Design,Closed Won,Completed,2025-01-13,2025-07-07,322350,150,2149
Project 0241,Client 098,X Design,Qualified,Active,2026-04-25,2026-11-13,115600,400,289
Project 0242,Client 006,X Build,Prospect,Active,2025-10-12,2026-04-12,523750,250,2095
Project 0243,Client 008,X Design,Closed Won,Completed,2025-08-20,2026-05-10,370500,150,2470
Project 0244,Client 007,Digital Ventures,In Delivery,Active,2026-05-06,2027-03-12,522800,400,1307
Project 0245,Client 026,Digital Ventures,Closed Won,Completed,2025-10-15,2026-01-04,439600,400,1099
Project 0246,Client 012,X Build,In Delivery,Active,2026-08-13,2027-01-06,1077250,250,4309
Project 0247,Client 100,X Build,In Delivery,Active,2026-03-31,2026-07-23,293200,200,1466
Project 0248,Client 051,X Design,Prospect,Active,2024-09-29,2025-09-11,1365700,350,3902
Project 0249,Client 003,X Design,Prospect,Active,2025-09-07,2026-01-03,301350,350,861
Project 0250,Client 031,X Design,Qualified,Active,2026-01-30,2026-10-29,1659000,350,4740
Project 0251,Client 020,X Design,Closed Won,Completed,2025-03-27,2025-12-31,211050,350,603
Project 0252,Client 098,X Design,Closed Won,Completed,2025-07-01,2026-05-06,735450,150,4903
Project 0253,Client 058,X Design,In Delivery,Active,2025-11-03,2026-09-01,1271600,400,3179
Project 0254,Client 021,Digital Ventures,Qualified,Active,2025-03-13,2025-06-20,1369900,350,3914
Project 0255,Client 042,X Design,Qualified,Active,2025-05-04,2025-09-27,1137300,300,3791
Project 0256,Client 014,Digital Ventures,Closed Lost,Active,2025-02-18,2025-08-07,200900,350,574
Project 0257,Client 066,Digital Ventures,Qualified,Active,2026-04-02,2026-06-28,131600,400,329
Project 0258,Client 045,Digital Ventures,In Delivery,Active,2025-06-27,2026-02-05,336900,150,2246
Project 0259,Client 014,X Design,In Delivery,Active,2024-09-17,2025-03-13,733200,200,3666
Project 0260,Client 005,Digital Ventures,Qualified,Active,2025-08-29,2026-07-11,1236400,400,3091
Project 0261,Client 037,Digital Ventures,Closed Won,Completed,2025-11-14,2026-05-13,1024000,400,2560
Project 0262,Client 044,Digital Ventures,In Delivery,Active,2025-04-15,2025-10-11,361800,150,2412
Project 0263,Client 073,Digital Ventures,Closed Won,Completed,2025-09-25,2026-04-02,204750,250,819
Project 0264,Client 035,X Design,Qualified,Active,2026-08-24,2027-02-18,168350,350,481
Project 0265,Client 020,X Build,Prospect,Active,2026-01-31,2026-04-12,302000,250,1208
Project 0266,Client 057,Digital Ventures,In Delivery,Active,2026-01-20,2026-12-30,65000,200,325
Project 0267,Client 045,X Design,In Delivery,Active,2025-11-04,2026-06-02,1034700,300,3449
Project 0268,Client 008,X Build,Qualified,Active,2025-09-18,2026-03-25,934000,200,4670
Project 0269,Client 065,Digital Ventures,Qualified,Active,2026-03-03,2027-02-15,1924800,400,4812
Project 0270,Client 082,X Build,Closed Lost,Active,2025-07-07,2025-12-27,534800,200,2674
Project 0271,Client 001,Digital Ventures,Closed Won,Completed,2025-01-14,2025-12-28,75300,150,502
Project 0272,Client 062,X Design,Closed Won,Completed,2025-08-29,2026-01-25,1163400,350,3324
Project 0273,Client 089,X Build,Closed Lost,Active,2026-03-17,2026-10-31,116100,150,774
Project 0274,Client 004,X Design,Closed Won,Completed,2025-10-05,2026-03-11,514500,150,3430
Project 0275,Client 083,X Build,Qualified,Active,2025-07-24,2026-06-27,750600,200,3753
Project 0276,Client 085,Digital Ventures,Closed Won,Completed,2025-05-27,2025-10-22,626800,400,1567
Project 0277,Client 035,X Design,In Delivery,Active,2024-12-28,2025-10-07,1501150,350,4289
Project 0278,Client 026,X Design,Prospect,Active,2026-08-22,2027-01-13,1286000,400,3215
Project 0279,Client 098,X Build,In Delivery,Active,2026-08-13,2027-02-21,206550,150,1377
Project 0280,Client 023,Digital Ventures,Qualified,Active,2025-09-16,2025-12-05,757500,250,3030
Project 0281,Client 036,Digital Ventures,Prospect,Active,2026-04-23,2027-03-29,713300,350,2038
Project 0282,Client 034,X Design,Qualified,Active,2026-04-06,2027-03-06,1616650,350,4619
Project 0283,Client 029,Digital Ventures,In Delivery,Active,2025-04-18,2025-07-13,171600,300,572
Project 0284,Client 002,X Build,In Delivery,Active,2024-10-24,2025-05-17,91500,300,305
Project 0285,Client 095,X Design,Closed Lost,Active,2025-09-09,2026-07-28,350550,150,2337
Project 0286,Client 056,X Design,Closed Won,Completed,2025-06-06,2026-05-29,578100,150,3854
Project 0287,Client 047,Digital Ventures,Closed Won,Completed,2025-08-14,2026-04-03,482400,300,1608
Project 0288,Client 009,Digital Ventures,Prospect,Active,2026-01-17,2026-04-12,600000,400,1500
Project 0289,Client 072,X Build,In Delivery,Active,2024-11-26,2025-07-13,393750,150,2625
Project 0290,Client 019,Digital Ventures,Qualified,Active,2026-07-06,2027-02-02,454800,300,1516
Project 0291,Client 069,Digital Ventures,In Delivery,Active,2024-10-18,2025-08-15,86250,250,345
Project 0292,Client 021,X Build,Qualified,Active,2024-10-21,2025-04-17,675800,200,3379
Project 0293,Client 011,X Design,Prospect,Active,2025-05-27,2026-01-01,763000,250,3052
Project 0294,Client 025,X Design,Qualified,Active,2025-06-10,2026-04-19,455000,350,1300
