project_name,month,actual_hours,actual_revenue,actual_cost
Project 0002,2025-11-01,396.85,32180.81,23484.19
Project 0002,2025-12-01,395.1,28727.15,18006.42
Project 0002,2026-01-01,422.33,29872.21,17778.32
Project 0002,2026-02-01,343.87,27075.54,15638.92
Project 0002,2026-03-01,397.79,23950.06,17851.39
Project 0002,2026-04-01,283.37,27225.56,15332.41
Project 0002,2026-05-01,341.37,32149.58,19740.02
Project 0002,2026-06-01,318.93,27951.49,18107.18
Project 0002,2026-07-01,361.18,31828.17,21927.41
Project 0002,2026-08-01,383.73,26820.24,18326.9
Project 0003,2024-09-01,75.02,6118.12,3679.12
Project 0003,2024-10-01,70.28,7859.32,5886.13
Project 0003,2024-11-01,81.73,6049.29,4142.19
Project 0003,2024-12-01,66.46,7766.23,5035.71
Project 0003,2025-01-01,64.04,7840.02,4666.43
Project 0003,2025-02-01,73.44,7215.67,4375.96
Project 0003,2025-03-01,65.5,6572.19,4628.81
Project 0003,2025-04-01,83.41,7472.19,5567.49
Project 0003,2025-05-01,58.68,7020.1,3928.58
Project 0003,2025-06-01,86.65,6566.06,4298.42
Project 0003,2025-07-01,69.42,6505.32,4356.74
Project 0003,2025-08-01,61.5,7474.86,5571.81
Project 0003,2025-09-01,60.91,7199.7,5246.61
Project 0003,2025-10-01,85.84,6003.85,4498.77
Project 0003,2025-11-01,81.41,7595.64,4690.01
Project 0003,2025-12-01,73.63,8209.02,5717.4
Project 0003,2026-01-01,88.02,8164.58,5851.07
Project 0003,2026-02-01,87.74,6584.76,4448.82
Project 0003,2026-03-01,78.36,8181.21,5002.38
Project 0003,2026-04-01,74.31,6755.2,4782.7
Project 0003,2026-05-01,75.25,6622.83,4100.36
Project 0003,2026-06-01,71.6,7889.01,4460.01
Project 0003,2026-07-01,58.5,6236.38,4052.77
Project 0003,2026-08-01,60.21,6084.48,4491.62
Project 0004,2024-09-01,263.15,112283.98,83894.22
Project 0004,2024-10-01,282.5,81266.63,54715.66
Project 0004,2024-11-01,256.56,97522.67,62519.51
Project 0004,2024-12-01,296.42,96012.36,55405.96
Project 0004,2025-01-01,230.7,88286.32,53191.99
Project 0004,2025-02-01,222.41,99933.59,72315.33
Project 0004,2025-03-01,228.55,91831.57,62916.04
Project 0004,2025-04-01,283.21,82614.02,56973.9
Project 0004,2025-05-01,214.14,88900.55,55360.96
Project 0004,2025-06-01,223.04,84765.15,50931.33
Project 0004,2025-07-01,272.46,91764.25,62920.76
Project 0004,2025-08-01,226.85,102333.75,59805.6
Project 0004,2025-09-01,275.85,112501.35,81449.58
Project 0004,2025-10-01,282.55,94468.94,61851.9
Project 0004,2025-11-01,265.28,92605.24,60239.54
Project 0004,2025-12-01,246.77,88397.66,62610.47
Project 0004,2026-01-01,252.12,113817.42,69587.34
Project 0004,2026-02-01,290.2,88199.5,54209.17
Project 0004,2026-03-01,248.04,116375.73,73180.23
Project 0004,2026-04-01,304.93,102709.28,66134.89
Project 0004,2026-05-01,328.1,96285.95,53159.35
Project 0004,2026-06-01,226.95,113080.69,79968.97
Project 0004,2026-07-01,249.98,103228.24,74817.25
Project 0004,2026-08-01,236.21,81718.87,54210.54
Project 0005,2024-09-01,217.0,36064.7,20009.49
Project 0005,2024-10-01,172.57,32849.92,19311.05
Project 0005,2024-11-01,230.03,37538.73,27444.86
Project 0005,2024-12-01,178.98,42681.12,27240.38
Project 0005,2025-01-01,185.2,33984.3,22113.91
Project 0005,2025-02-01,180.94,32188.73,23725.53
Project 0005,2025-03-01,201.83,37631.51,20806.97
Project 0005,2025-04-01,240.52,34640.55,20192.86
Project 0005,2025-05-01,162.2,36934.2,23847.2
Project 0005,2025-06-01,236.23,31544.8,22553.61
Project 0005,2025-07-01,186.93,42029.77,30154.15
Project 0005,2025-08-01,195.25,38682.88,26113.5
Project 0005,2025-09-01,174.03,31426.1,21949.83
Project 0005,2025-10-01,215.86,34596.26,21692.57
Project 0005,2025-11-01,248.44,42946.87,31210.05
Project 0005,2025-12-01,178.73,34958.08,22544.01
Project 0005,2026-01-01,163.26,31357.63,20716.67
Project 0005,2026-02-01,252.32,38374.52,22655.1
Project 0005,2026-03-01,171.32,34786.93,25516.51
Project 0005,2026-04-01,236.48,41893.97,30605.75
Project 0005,2026-05-01,202.36,38435.38,23679.21
Project 0005,2026-06-01,202.65,39314.89,25173.84
Project 0005,2026-07-01,251.35,44069.9,31258.64
Project 0005,2026-08-01,223.45,41606.06,24265.28
Project 0006,2024-09-01,238.7,68223.71,47467.14
Project 0006,2024-10-01,261.91,67870.7,38566.04
Project 0006,2024-11-01,236.91,74822.42,43694.39
Project 0006,2024-12-01,203.54,68116.35,47899.03
Project 0006,2025-01-01,235.01,78540.19,52301.78
Project 0006,2025-02-01,267.83,67150.46,37489.13
Project 0006,2025-03-01,224.93,94662.7,70299.54
Project 0006,2025-04-01,219.11,69842.81,40781.28
Project 0006,2025-05-01,231.54,67987.14,40218.25
Project 0006,2025-06-01,182.14,83603.34,51532.87
Project 0006,2025-07-01,213.89,89245.99,60290.05
Project 0006,2025-08-01,253.67,85342.11,52484.08
Project 0006,2025-09-01,265.2,86501.21,60209.05
Project 0006,2025-10-01,232.83,80757.03,56363.28
Project 0006,2025-11-01,172.78,84318.47,49659.76
Project 0006,2025-12-01,197.82,90084.98,62727.29
Project 0006,2026-01-01,222.19,77331.02,43583.35
Project 0006,2026-02-01,264.76,71776.85,52255.53
Project 0006,2026-03-01,216.1,85482.27,58568.37
Project 0006,2026-04-01,226.75,84502.78,47476.65
Project 0006,2026-05-01,246.35,84915.71,63586.27
Project 0006,2026-06-01,242.56,66826.34,44396.6
Project 0006,2026-07-01,183.63,79132.97,49997.55
Project 0006,2026-08-01,200.77,76814.78,53476.6
Project 0007,2024-09-01,318.89,37407.03,27596.4
Project 0007,2024-10-01,271.82,33012.14,22487.23
Project 0007,2024-11-01,281.53,31120.27,18514.09
Project 0007,2024-12-01,351.4,29496.19,17724.5
Project 0007,2025-01-01,244.49,34554.97,23838.36
Project 0007,2025-02-01,340.12,32770.48,20726.7
Project 0007,2025-03-01,308.55,31081.96,17906.35
Project 0007,2025-04-01,281.84,34148.03,25009.74
Project 0007,2025-05-01,333.2,29393.17,17240.57
Project 0007,2025-06-01,295.23,32626.24,23869.45
Project 0007,2025-07-01,251.03,31668.44,19436.13
Project 0007,2025-08-01,256.12,29941.13,19903.97
Project 0007,2025-09-01,242.8,29392.83,20365.79
Project 0007,2025-10-01,255.68,33159.86,19919.87
Project 0007,2025-11-01,276.15,36672.53,23796.96
Project 0007,2025-12-01,318.76,30154.31,18491.09
Project 0007,2026-01-01,348.79,36483.17,24528.7
Project 0007,2026-02-01,273.45,32334.42,19901.33
Project 0007,2026-03-01,263.28,30691.97,21734.16
Project 0007,2026-04-01,298.02,33449.02,22371.03
Project 0007,2026-05-01,247.77,36015.78,25798.4
Project 0007,2026-06-01,337.16,30851.13,21735.67
Project 0007,2026-07-01,317.52,37584.56,20781.32
Project 0007,2026-08-01,321.04,33143.93,20797.49
Project 0008,2024-09-01,30.26,6886.11,4191.62
Project 0008,2024-10-01,30.62,5579.64,3690.82
Project 0008,2024-11-01,35.46,6543.98,4656.32
Project 0008,2024-12-01,37.72,6935.16,3840.62
Project 0008,2025-01-01,28.79,6607.18,3809.6
Project 0008,2025-02-01,30.43,6394.14,3589.82
Project 0008,2025-03-01,25.74,5298.94,3871.65
Project 0008,2025-04-01,28.8,5051.83,3199.08
Project 0008,2025-05-01,39.13,5777.69,3224.28
Project 0008,2025-06-01,35.73,6118.02,4504.94
Project 0008,2025-07-01,37.54,6354.52,3601.39
Project 0008,2025-08-01,31.22,5841.9,4248.57
Project 0008,2025-09-01,27.96,5328.99,3281.12
Project 0008,2025-10-01,28.41,5117.1,3802.22
Project 0008,2025-11-01,35.02,5934.28,4125.64
Project 0008,2025-12-01,27.89,5800.41,3429.87
Project 0008,2026-01-01,35.08,5683.0,3578.33
Project 0008,2026-02-01,33.42,5012.9,3680.99
Project 0008,2026-03-01,37.86,6773.71,4802.64
Project 0008,2026-04-01,36.97,5705.88,3301.61
Project 0008,2026-05-01,35.16,6436.18,3572.81
Project 0008,2026-06-01,39.0,6721.0,4056.01
Project 0008,2026-07-01,26.94,6774.39,4538.8
Project 0008,2026-08-01,33.75,6059.93,4455.51
Project 0009,2024-09-01,232.89,53926.67,32611.6
Project 0009,2024-10-01,169.72,54618.53,39361.71
Project 0009,2024-11-01,165.71,44648.79,30534.03
Project 0009,2024-12-01,183.14,42993.93,26278.3
Project 0009,2025-01-01,177.04,40131.16,22113.39
Project 0009,2025-02-01,168.51,46651.58,32027.73
Project 0009,2025-03-01,247.45,43068.12,31192.1
Project 0009,2025-04-01,232.72,43987.41,31259.61
Project 0009,2025-05-01,215.69,55895.27,31658.7
Project 0009,2025-06-01,218.18,50092.26,33946.03
Project 0009,2025-07-01,239.74,44289.83,32858.38
Project 0009,2025-08-01,168.86,42762.18,25182.95
Project 0009,2025-09-01,222.93,53059.56,35932.44
Project 0009,2025-10-01,213.85,45906.55,28075.29
Project 0009,2025-11-01,233.62,47194.61,35218.9
Project 0009,2025-12-01,246.56,54971.6,34656.56
Project 0009,2026-01-01,225.59,47050.95,34556.02
Project 0009,2026-02-01,188.72,41468.8,23962.72
Project 0009,2026-03-01,188.91,49497.33,30451.83
Project 0009,2026-04-01,192.9,40254.68,29083.98
Project 0009,2026-05-01,224.63,43024.56,29081.4
Project 0009,2026-06-01,172.92,53792.91,40103.58
Project 0009,2026-07-01,252.22,48995.48,35879.53
Project 0009,2026-08-01,165.93,42827.17,25744.6
Project 0010,2024-09-01,209.65,91311.27,53279.39
Project 0010,2024-10-01,194.55,89202.51,51235.93
Project 0010,2024-11-01,197.81,87685.72,55185.09
Project 0010,2024-12-01,240.16,89572.94,64836.03
Project 0010,2025-01-01,241.98,91392.37,57772.94
Project 0010,2025-02-01,288.58,100725.81,72587.9
Project 0010,2025-03-01,205.91,96049.47,58145.85
Project 0010,2025-04-01,292.48,75683.08,51627.95
Project 0010,2025-05-01,224.92,98412.89,70771.73
Project 0010,2025-06-01,191.1,82614.01,51657.13
Project 0010,2025-07-01,243.15,92713.35,66977.53
Project 0010,2025-08-01,251.35,77609.17,50647.42
Project 0010,2025-09-01,280.63,83321.24,58372.34
Project 0010,2025-10-01,286.52,97974.59,68048.93
Project 0010,2025-11-01,267.9,81712.93,49970.77
Project 0010,2025-12-01,198.89,82048.32,57335.84
Project 0010,2026-01-01,216.51,97265.14,68073.52
Project 0010,2026-02-01,202.71,103978.59,62026.07
Project 0010,2026-03-01,220.87,98539.4,66507.47
Project 0010,2026-04-01,240.26,76822.37,53608.05
Project 0010,2026-05-01,279.85,96470.35,69988.32
Project 0010,2026-06-01,264.2,99283.41,55235.78
Project 0010,2026-07-01,195.04,91551.55,65149.32
Project 0010,2026-08-01,252.29,84597.84,51256.9
Project 0011,2024-09-01,31.73,1938.34,1220.63
Project 0011,2024-10-01,24.27,1989.15,1306.74
Project 0011,2024-11-01,24.98,1986.52,1471.63
Project 0011,2024-12-01,21.28,1521.0,1111.59
Project 0011,2025-01-01,32.99,1487.37,1101.07
Project 0011,2025-02-01,27.53,1530.56,898.42
Project 0011,2025-03-01,21.8,1714.49,1019.75
Project 0011,2025-04-01,26.34,1673.5,1247.59
Project 0011,2025-05-01,29.93,1954.37,1284.82
Project 0011,2025-06-01,25.14,1974.67,1366.04
Project 0011,2025-07-01,24.84,2071.82,1418.79
Project 0011,2025-08-01,32.08,1977.4,1371.5
Project 0011,2025-09-01,24.98,1623.17,899.48
Project 0011,2025-10-01,21.57,1924.69,1391.42
Project 0011,2025-11-01,23.13,1518.96,980.2
Project 0011,2025-12-01,22.73,1910.16,1218.71
Project 0011,2026-01-01,23.61,1749.04,1002.4
Project 0011,2026-02-01,27.1,1972.41,1090.5
Project 0011,2026-03-01,32.86,1951.28,1309.67
Project 0011,2026-04-01,31.63,1762.22,1304.93
Project 0011,2026-05-01,26.42,1920.68,1283.87
Project 0011,2026-06-01,23.4,1886.82,1206.51
Project 0011,2026-07-01,28.94,1968.24,1244.4
Project 0011,2026-08-01,22.48,1863.08,1174.3
Project 0012,2024-09-01,79.87,13103.56,7694.31
Project 0012,2024-10-01,79.44,13774.68,8294.89
Project 0012,2024-11-01,100.71,13854.69,9558.61
Project 0012,2024-12-01,75.63,13358.05,9232.97
Project 0012,2025-01-01,104.54,11871.7,7735.94
Project 0012,2025-02-01,90.3,12367.75,7985.01
Project 0012,2025-03-01,96.41,12996.48,8794.1
Project 0012,2025-04-01,92.46,11644.4,8141.11
Project 0012,2025-05-01,99.17,13243.2,9731.3
Project 0012,2025-06-01,93.71,13219.3,9045.72
Project 0012,2025-07-01,96.03,13670.37,9773.79
Project 0012,2025-08-01,93.31,12659.58,7575.08
Project 0012,2025-09-01,110.16,11541.05,7865.84
Project 0012,2025-10-01,108.75,12130.07,8094.42
Project 0012,2025-11-01,101.71,11967.01,8287.55
Project 0012,2025-12-01,90.04,10550.09,6799.56
Project 0012,2026-01-01,91.9,11337.72,7172.49
Project 0012,2026-02-01,87.65,10576.41,5969.91
Project 0012,2026-03-01,105.53,12178.54,8464.79
Project 0012,2026-04-01,74.46,11261.84,6649.33
Project 0012,2026-05-01,79.33,12049.61,7938.22
Project 0012,2026-06-01,105.34,10713.69,6743.78
Project 0012,2026-07-01,103.86,10773.06,6663.87
Project 0012,2026-08-01,94.05,10202.49,6798.05
Project 0013,2024-09-01,84.65,6699.92,4279.6
Project 0013,2024-10-01,77.88,5734.53,4159.38
Project 0013,2024-11-01,87.26,6731.57,4509.31
Project 0013,2024-12-01,112.3,5553.42,3182.01
Project 0013,2025-01-01,95.79,5112.57,3408.17
Project 0013,2025-02-01,76.75,6396.83,3920.03
Project 0013,2025-03-01,83.65,6218.71,4505.61
Project 0013,2025-04-01,95.16,5298.52,3646.88
Project 0013,2025-05-01,100.98,5688.49,4072.26
Project 0013,2025-06-01,113.45,5529.02,3653.09
Project 0013,2025-07-01,92.76,5772.19,3535.11
Project 0013,2025-08-01,108.3,6723.17,4817.74
Project 0013,2025-09-01,108.09,7305.22,4896.52
Project 0013,2025-10-01,97.6,5861.48,3271.96
Project 0013,2025-11-01,93.4,6767.19,3749.06
Project 0013,2025-12-01,90.91,5243.58,3495.81
Project 0013,2026-01-01,100.77,6140.57,3967.17
Project 0013,2026-02-01,83.75,6581.58,3768.41
Project 0013,2026-03-01,95.05,6435.84,3574.29
Project 0013,2026-04-01,78.95,5953.62,3907.19
Project 0013,2026-05-01,100.51,5987.77,4258.03
Project 0013,2026-06-01,115.35,5773.16,3793.7
Project 0013,2026-07-01,103.38,6484.64,4431.26
Project 0013,2026-08-01,92.67,6245.0,3501.92
Project 0014,2024-09-01,158.94,15987.0,9859.7
Project 0014,2024-10-01,142.38,18519.71,12919.97
Project 0014,2024-11-01,202.73,21770.51,14117.58
Project 0014,2024-12-01,196.46,20689.16,13109.86
Project 0014,2025-01-01,202.58,17977.42,11741.69
Project 0014,2025-02-01,145.4,19278.66,11020.28
Project 0014,2025-03-01,178.26,21667.59,13329.14
Project 0014,2025-04-01,173.83,17162.23,11443.5
Project 0014,2025-05-01,196.15,17267.92,9788.37
Project 0014,2025-06-01,183.25,18300.79,11068.76
Project 0014,2025-07-01,187.74,21567.62,15265.66
Project 0014,2025-08-01,142.55,16659.1,10116.98
Project 0014,2025-09-01,188.35,19422.91,13932.18
Project 0014,2025-10-01,201.97,20713.19,14452.6
Project 0014,2025-11-01,151.94,17955.63,12375.71
Project 0014,2025-12-01,138.94,17170.09,11271.21
Project 0014,2026-01-01,139.59,21525.82,15248.42
Project 0014,2026-02-01,168.31,21456.06,12046.77
Project 0014,2026-03-01,185.29,17043.45,11800.13
Project 0014,2026-04-01,175.88,22057.24,12678.98
Project 0014,2026-05-01,186.32,16675.09,9784.22
Project 0014,2026-06-01,168.69,18108.85,10049.56
Project 0014,2026-07-01,162.7,17557.66,10638.67
Project 0014,2026-08-01,186.84,16778.69,11956.99
Project 0015,2024-09-01,142.63,9429.68,5913.46
Project 0015,2024-10-01,147.24,10353.7,7247.49
Project 0015,2024-11-01,106.61,11460.22,6462.92
Project 0015,2024-12-01,120.79,11787.58,7161.85
Project 0015,2025-01-01,146.13,11162.04,8064.55
Project 0015,2025-02-01,147.03,9646.66,5384.64
Project 0015,2025-03-01,134.1,8659.14,4871.81
Project 0015,2025-04-01,136.89,9678.59,5976.08
Project 0015,2025-05-01,114.77,9140.92,5864.04
Project 0015,2025-06-01,143.11,10237.64,7166.66
Project 0015,2025-07-01,146.66,10168.79,5825.17
Project 0015,2025-08-01,145.66,9421.8,5894.27
Project 0015,2025-09-01,125.22,12113.04,8580.72
Project 0015,2025-10-01,122.88,9966.68,6244.89
Project 0015,2025-11-01,129.81,11141.2,8230.62
Project 0015,2025-12-01,104.56,9405.25,5912.63
Project 0015,2026-01-01,147.51,10761.66,6664.04
Project 0015,2026-02-01,118.66,10899.12,7339.95
Project 0015,2026-03-01,111.95,11755.7,7416.06
Project 0015,2026-04-01,147.95,12157.84,8059.77
Project 0015,2026-05-01,114.95,10390.56,6789.63
Project 0015,2026-06-01,137.59,11619.9,7065.0
Project 0015,2026-07-01,113.86,9221.99,5385.2
Project 0015,2026-08-01,122.56,8829.62,5056.37
Project 0016,2024-09-01,357.92,99673.2,58101.49
Project 0016,2024-10-01,322.1,95291.75,56609.38
Project 0016,2024-11-01,288.6,113600.07,79560.28
Project 0016,2024-12-01,388.48,129454.83,84995.56
Project 0016,2025-01-01,380.92,127606.84,70453.04
Project 0016,2025-02-01,405.23,108683.99,67294.06
Project 0016,2025-03-01,388.9,94129.21,66870.11
Project 0016,2025-04-01,356.37,99214.15,58376.72
Project 0016,2025-05-01,314.96,121870.77,74736.4
Project 0016,2025-06-01,346.86,126970.22,86841.39
Project 0016,2025-07-01,319.08,109019.92,73598.87
Project 0016,2025-08-01,330.76,98981.51,58577.99
Project 0016,2025-09-01,419.76,120920.14,90581.54
Project 0016,2025-10-01,311.99,110962.74,70857.02
Project 0016,2025-11-01,304.75,127063.44,94080.2
Project 0016,2025-12-01,426.24,106565.94,76484.7
Project 0016,2026-01-01,322.18,125493.94,69241.97
Project 0016,2026-02-01,319.67,108199.04,60318.74
Project 0016,2026-03-01,335.44,113196.94,76624.29
Project 0016,2026-04-01,291.46,117894.26,87877.57
Project 0016,2026-05-01,342.02,100282.32,64945.19
Project 0016,2026-06-01,288.11,125676.13,79895.94
Project 0016,2026-07-01,306.17,118190.97,79837.24
Project 0016,2026-08-01,428.06,130161.79,72433.76
Project 0017,2024-09-01,226.91,82609.64,52029.63
Project 0017,2024-10-01,215.14,82828.14,61368.26
Project 0017,2024-11-01,197.91,104985.72,64856.25
Project 0017,2024-12-01,219.06,88165.22,59579.82
Project 0017,2025-01-01,286.4,95872.53,66935.69
Project 0017,2025-02-01,264.72,92667.9,56045.34
Project 0017,2025-03-01,246.61,94321.96,54392.54
Project 0017,2025-04-01,224.86,82837.55,60874.16
Project 0017,2025-05-01,224.59,82439.21,51431.42
Project 0017,2025-06-01,205.76,96637.98,71588.35
Project 0017,2025-07-01,256.3,103250.82,70706.94
Project 0017,2025-08-01,230.06,75436.54,53494.47
Project 0017,2025-09-01,223.83,77429.37,51649.99
Project 0017,2025-10-01,295.6,83291.95,47993.8
Project 0017,2025-11-01,248.68,101017.03,70718.6
Project 0017,2025-12-01,249.4,85071.15,61367.53
Project 0017,2026-01-01,232.35,90187.77,59274.21
Project 0017,2026-02-01,241.58,98394.82,72593.28
Project 0017,2026-03-01,245.1,84554.47,59305.28
Project 0017,2026-04-01,287.85,97469.49,73039.92
Project 0017,2026-05-01,204.97,88876.54,49422.75
Project 0017,2026-06-01,288.99,98706.55,58645.76
Project 0017,2026-07-01,199.58,80082.16,57221.96
Project 0017,2026-08-01,236.97,85092.99,55357.25
Project 0018,2024-09-01,231.28,33586.76,22604.32
Project 0018,2024-10-01,218.02,26452.98,18333.93
Project 0018,2024-11-01,187.99,35024.82,19330.5
Project 0018,2024-12-01,204.79,25374.28,18120.0
Project 0018,2025-01-01,212.58,24641.76,15175.53
Project 0018,2025-02-01,211.96,25129.03,15101.28
Project 0018,2025-03-01,236.56,28346.77,18547.58
Project 0018,2025-04-01,261.2,25904.61,17542.14
Project 0018,2025-05-01,176.21,32795.93,18346.43
Project 0018,2025-06-01,186.77,24774.01,15679.02
Project 0018,2025-07-01,212.61,34622.5,21052.25
Project 0018,2025-08-01,179.37,30604.22,20563.01
Project 0018,2025-09-01,244.88,30674.04,22923.86
Project 0018,2025-10-01,217.68,27261.18,19949.0
Project 0018,2025-11-01,215.54,33003.58,24392.1
Project 0018,2025-12-01,258.27,25180.13,14103.43
Project 0018,2026-01-01,254.36,30446.99,18345.65
Project 0018,2026-02-01,199.83,29640.34,21946.56
Project 0018,2026-03-01,236.88,33416.87,22306.61
Project 0018,2026-04-01,206.37,33384.05,21349.45
Project 0018,2026-05-01,203.05,32410.47,18239.97
Project 0018,2026-06-01,179.7,25363.89,18361.84
Project 0018,2026-07-01,237.26,29640.11,18631.23
Project 0018,2026-08-01,202.03,27345.42,19383.43
Project 0019,2024-09-01,36.37,2068.22,1418.67
Project 0019,2024-10-01,31.94,2029.11,1498.45
Project 0019,2024-11-01,24.01,2184.02,1434.52
Project 0019,2024-12-01,33.82,2113.06,1252.26
Project 0019,2025-01-01,36.62,2240.13,1338.13
Project 0019,2025-02-01,25.0,2251.1,1263.18
Project 0019,2025-03-01,24.46,1715.81,1233.67
Project 0019,2025-04-01,27.36,1665.96,950.85
Project 0019,2025-05-01,24.91,1833.9,1253.65
Project 0019,2025-06-01,35.21,1718.73,1226.21
Project 0019,2025-07-01,35.81,1633.71,908.0
Project 0019,2025-08-01,24.12,1794.27,1107.37
Project 0019,2025-09-01,34.46,1989.1,1228.46
Project 0019,2025-10-01,26.22,2125.25,1487.93
Project 0019,2025-11-01,25.63,1791.68,1051.86
Project 0019,2025-12-01,30.62,1753.36,1260.59
Project 0019,2026-01-01,33.25,1680.56,1144.24
Project 0019,2026-02-01,26.99,2243.93,1436.16
Project 0019,2026-03-01,32.62,2281.8,1432.41
Project 0019,2026-04-01,27.24,1717.37,1144.18
Project 0019,2026-05-01,25.37,2134.26,1429.78
Project 0019,2026-06-01,30.64,2015.02,1386.39
Project 0019,2026-07-01,28.05,2219.01,1615.0
Project 0019,2026-08-01,26.02,1738.13,1048.71
Project 0020,2024-09-01,289.85,78550.65,44874.6
Project 0020,2024-10-01,276.48,101483.84,70983.84
Project 0020,2024-11-01,394.97,76211.77,52756.23
Project 0020,2024-12-01,367.94,74868.96,48875.69
Project 0020,2025-01-01,332.62,100099.56,67888.02
Project 0020,2025-02-01,315.44,100327.07,55234.23
Project 0020,2025-03-01,311.89,102404.61,66481.95
Project 0020,2025-04-01,328.17,74900.64,55973.06
Project 0020,2025-05-01,314.02,83734.68,57562.4
Project 0020,2025-06-01,317.23,101256.58,61962.32
Project 0020,2025-07-01,355.25,105274.57,60407.0
Project 0020,2025-08-01,326.92,76898.05,45678.83
Project 0020,2025-09-01,384.61,82941.65,47103.66
Project 0020,2025-10-01,295.83,98009.41,68809.04
Project 0020,2025-11-01,257.22,98239.56,64035.2
Project 0020,2025-12-01,382.93,79196.9,57363.68
Project 0020,2026-01-01,321.19,88309.36,53926.69
Project 0020,2026-02-01,308.64,98049.97,59178.89
Project 0020,2026-03-01,269.53,88762.83,62073.68
Project 0020,2026-04-01,350.47,75058.37,44027.21
Project 0020,2026-05-01,349.18,82236.87,61561.59
Project 0020,2026-06-01,289.2,100045.75,58547.27
Project 0020,2026-07-01,321.16,102936.49,59436.61
Project 0020,2026-08-01,375.59,102805.15,76772.96
Project 0021,2024-09-01,166.69,13434.9,7530.46
Project 0021,2024-10-01,148.57,10049.0,6595.12
Project 0021,2024-11-01,137.54,11535.45,7339.34
Project 0021,2024-12-01,112.25,12003.54,7227.83
Project 0021,2025-01-01,158.39,11789.04,6894.6
Project 0021,2025-02-01,157.89,11909.29,7609.15
Project 0021,2025-03-01,140.9,9723.86,5924.64
Project 0021,2025-04-01,120.1,13518.6,9199.34
Project 0021,2025-05-01,140.7,9831.65,6496.72
Project 0021,2025-06-01,141.27,10862.71,6329.82
Project 0021,2025-07-01,151.91,10888.65,6646.0
Project 0021,2025-08-01,152.38,13392.86,8541.02
Project 0021,2025-09-01,144.12,9772.95,6869.95
Project 0021,2025-10-01,163.8,10726.5,6439.78
Project 0021,2025-11-01,117.58,13073.34,9455.12
Project 0021,2025-12-01,131.11,11708.77,7060.65
Project 0021,2026-01-01,176.12,11426.33,6787.99
Project 0021,2026-02-01,149.6,10043.96,6505.56
Project 0021,2026-03-01,154.84,11813.92,7128.86
Project 0021,2026-04-01,140.03,13438.78,7738.28
Project 0021,2026-05-01,153.32,12730.9,7805.94
Project 0021,2026-06-01,126.2,12223.1,7810.17
Project 0021,2026-07-01,120.67,13391.47,8400.99
Project 0021,2026-08-01,174.23,13062.39,8370.19
Project 0022,2024-09-01,252.34,90283.79,66491.27
Project 0022,2024-10-01,208.71,101637.73,64778.97
Project 0022,2024-11-01,275.92,88893.69,59610.21
Project 0022,2024-12-01,298.64,95043.19,53698.64
Project 0022,2025-01-01,234.49,81102.87,50247.81
Project 0022,2025-02-01,200.14,74593.1,51185.09
Project 0022,2025-03-01,246.05,102320.43,67310.29
Project 0022,2025-04-01,273.61,82140.08,57527.54
Project 0022,2025-05-01,213.28,92914.22,52905.69
Project 0022,2025-06-01,254.57,75970.06,54319.13
Project 0022,2025-07-01,240.55,101641.73,71845.89
Project 0022,2025-08-01,220.07,104504.39,65795.14
